Action ID,Question,Category/Subcategory,Expected Answer
GV-1.1-001,"Does your organization align GAI development and use with applicable laws and regulations (including data privacy, copyright, and intellectual property laws)?",Governance and Oversight / Legal and Regulatory,Yes
GV-1.2-001,"Has your organization established transparency policies and processes to document the origin and history of training and generated data for GAI applications, while balancing proprietary interests?",Governance and Oversight / Data Privacy; Information Integrity; Intellectual Property,Yes
GV-1.2-002,Are there policies in place to evaluate the risk-relevant capabilities of GAI and the robustness of its safety measures both before deployment and on an ongoing basis (via internal and external evaluations)?,Governance and Oversight / CBRN Information or Capabilities; Information Security,Yes
GV-1.3-001,"Does your organization consider factors such as impacts on information integrity, dependencies with other systems, potential harm to rights and public safety, offensive or untruthful outputs, psychological impacts, malicious use, security vulnerabilities, and performance variability when defining risk tiers for GAI?",Risk Management / Information Integrity; Content Risks; Value Chain Integration,Yes
GV-1.3-002,Have minimum thresholds for performance or assurance criteria been established and integrated into “go/no-go” deployment approval processes for GAI systems?,Risk Management / CBRN Information or Capabilities; Confabulation; Content Safety,Yes
GV-1.3-003,Is there a test plan and response policy in place (prior to developing highly capable models) to periodically evaluate potential misuse of CBRN information or offensive cyber capabilities?,Risk Management / CBRN Information or Capabilities; Information Security,Yes
GV-1.3-004,"Does your organization obtain input from stakeholder communities to identify unacceptable use of GAI, in alignment with AI RMF Map function activities?",Risk Management / CBRN Information or Capabilities; Content Risks; Harmful Bias,Yes
GV-1.3-005,"Is there a maintained and updated hierarchy of identified and expected GAI risks, including specialized risk levels for issues like model collapse and algorithmic monoculture?",Risk Management / Harmful Bias and Homogenization,Yes
GV-1.3-006,"Are organizational risk tolerances periodically reevaluated to account for imminent, severe, or large-scale negative impacts and broader GAI risks?",Risk Management / Information Integrity; Content Risks; CBRN Information or Capabilities,Yes
GV-1.3-007,Has your organization devised a plan to halt the development or deployment of a GAI system if it is found to pose an unacceptable negative risk?,Risk Management / CBRN Information or Capabilities; Information Security; Information Integrity,Yes
GV-1.4-001,"Are there policies and mechanisms established to prevent GAI systems from generating CSAM, NCII, or any content that violates the law?",Risk Management / Content Safety; Harmful Bias; Dangerous Content,Yes
GV-1.4-002,Has your organization established transparent acceptable use policies for GAI that specifically address and prevent illegal use or applications?,Risk Management / CBRN Information or Capabilities; Content Safety; Data Privacy; Civil Rights,Yes
GV-1.5-001,Are organizational responsibilities defined for the periodic review of content provenance and incident monitoring for GAI systems?,Ongoing Monitoring / Information Integrity,Yes
GV-1.5-002,Do you have established policies and procedures for after-action reviews of GAI incident response and incident disclosures to identify gaps and update processes accordingly?,Ongoing Monitoring / Human-AI Configuration; Information Security,Yes
GV-1.5-003,"Is there a document retention policy in place to maintain historical records related to test, evaluation, validation, verification (TEVV), and digital content transparency methods for GAI?",Ongoing Monitoring / Information Integrity; Intellectual Property,Yes
GV-1.6-001,Has your organization enumerated all GAI systems and incorporated them into an AI system inventory that reflects associated GAI risks?,Inventory Management / Information Security,Yes
GV-1.6-002,Are there defined inventory exemptions in your organizational policies for GAI systems that are embedded into application software?,Inventory Management / Value Chain and Component Integration,Yes
GV-1.6-003,"Does your AI system inventory capture additional details such as data provenance (source, signatures, versioning), known issues, human oversight roles, intellectual property considerations, underlying models and versions, and access modes?",Inventory Management / Data Privacy; Human-AI Configuration; Information Integrity; Intellectual Property; Value Chain and Component Integration,Yes
GV-1.7-001,Are protocols in place to ensure that GAI systems can be safely deactivated when necessary?,Decommissioning / Information Security; Value Chain and Component Integration,Yes
GV-1.7-002,"When decommissioning GAI systems, does your organization consider factors such as data retention, data security (e.g., containment and leakage prevention), interdependencies with other systems, the use of open-source models, and user emotional entanglement?",Decommissioning / Human-AI Configuration; Information Security; Value Chain and Component Integration,Yes
GV-2.1-001,"Are roles, policies, and procedures established for communicating GAI incidents and performance to all relevant AI Actors and stakeholders (including through community or official resources such as incident databases)?",Communication / Human-AI Configuration; Value Chain and Component Integration,Yes
GV-2.1-002,Has your organization established procedures to engage diverse teams for GAI system incident response based on the type of incident?,Communication / Harmful Bias and Homogenization,Yes
GV-2.1-003,Are there processes in place to verify that the AI Actors assigned to GAI incident response have the appropriate skills and training?,Communication / Human-AI Configuration,Yes
GV-2.1-004,"When GAI systems potentially raise national security risks, are national security professionals involved in mapping, measuring, and managing those risks?",Communication / CBRN Information or Capabilities; Information Security,Yes
GV-2.1-005,Does your organization have mechanisms to protect whistleblowers who report potential violations of laws or significant negative risks to public safety?,Communication / CBRN Information or Capabilities; Dangerous Content,Yes
GV-3.2-001,"Are there policies in place to ensure independent evaluations or assessments of GAI models/systems, with the robustness of such evaluations proportional to the identified risks?",Human-AI Configuration / CBRN Information or Capabilities; Harmful Bias,Yes
GV-3.2-002,"Does your organization consider adjusting roles and responsibilities across lifecycle stages (including testing, validation, red-teaming, content moderation, development, and incident response) for large or complex GAI systems?",Human-AI Configuration / Information Security; Harmful Bias,Yes
GV-3.2-003,"Are acceptable use policies defined for GAI interfaces, modalities, and human-AI configurations (e.g., for chatbots and decision-making tasks), including guidelines on which queries should be refused?",Human-AI Configuration,Yes
GV-3.2-004,Has your organization established policies for user feedback mechanisms for GAI systems that include clear instructions and recourse options?,Human-AI Configuration,Yes
GV-3.2-005,Is threat modeling regularly conducted to anticipate potential risks associated with GAI systems?,Human-AI Configuration / CBRN Information or Capabilities; Information Security,Yes
GV-4.1-001,"Does your organization establish policies and procedures that address continual improvement processes for GAI risk measurement—using documentation (e.g., gradient-based attributions, occlusion/term reduction, counterfactual prompts, prompt engineering, embedding analysis) and regular assessments?",Confabulation,Yes
GV-4.1-002,"Does your organization establish policies, procedures, and processes detailing risk measurement in context of use—with standardized measurement protocols and structured public feedback exercises (e.g., AI red-teaming or independent external evaluations)?",CBRN Information and Capability; Value Chain and Component Integration,Yes
GV-4.1-003,"Does your organization establish policies, procedures, and processes for oversight functions (involving senior leadership, legal, compliance, internal evaluation) across the GAI lifecycle—from problem formulation and supply chains to system decommission?",Value Chain and Component Integration,Yes
GV-4.2-001,Does your organization establish terms of use and terms of service for GAI systems?,"Intellectual Property; Dangerous, Violent, or Hateful Content; Obscene, Degrading, and/or Abusive Content",Yes
GV-4.2-002,Does your organization include relevant AI Actors in the GAI system risk identification process?,Human-AI Configuration,Yes
GV-4.2-003,"Does your organization verify that downstream GAI system impacts (e.g., use of third-party plugins) are included in the impact documentation process?",Value Chain and Component Integration,Yes
GV-4.3-001,"Does your organization establish policies for measuring the effectiveness of employed content provenance methodologies (e.g., cryptography, watermarking, steganography)?",Information Integrity,Yes
GV-4.3-002,"Does your organization establish practices to identify the minimum set of criteria for GAI system incident reporting (e.g., system ID, title, reporter, source, data reported, date, description, impacts, stakeholders)?",Information Security,Yes
GV-4.3-003,Does your organization verify information sharing and feedback mechanisms among individuals and organizations regarding any negative impact from GAI systems?,Information Integrity; Data Privacy,Yes
GV-5.1-001,"Does your organization allocate time and resources for outreach, feedback, and recourse processes in GAI system development?",Human-AI Configuration; Harmful Bias and Homogenization,Yes
GV-5.1-002,"Does your organization document interactions with GAI systems to users prior to interactive activities, particularly in contexts involving significant risks?",Human-AI Configuration; Confabulation,Yes
GV-6.1-001,"Does your organization categorize different types of GAI content with associated third-party rights (e.g., copyright, intellectual property, data privacy)?",Data Privacy; Intellectual Property; Value Chain and Component Integration,Yes
GV-6.1-002,Does your organization conduct joint educational activities and events with third parties to promote best practices for managing GAI risks?,Value Chain and Component Integration,Yes
GV-6.1-003,"Does your organization develop and validate approaches for measuring the success of content provenance management efforts with third parties (e.g., incidents detected and response times)?",Information Integrity; Value Chain and Component Integration,Yes
GV-6.1-004,"Does your organization draft and maintain well-defined contracts and SLAs that specify content ownership, usage rights, quality standards, security requirements, and content provenance expectations for GAI systems?",Information Integrity; Information Security; Intellectual Property,Yes
GV-6.1-005,Does your organization implement a use-case based supplier risk assessment framework to evaluate and monitor third-party entities’ performance and adherence to content provenance standards and detection technologies?,Data Privacy; Information Integrity; Information Security; Intellectual Property; Value Chain and Component Integration,Yes
GV-6.1-006,Does your organization include clauses in contracts that allow evaluation of third-party GAI processes and standards?,Information Integrity,Yes
GV-6.1-007,Does your organization inventory all third-party entities with access to organizational content and establish approved lists of GAI technology and service providers?,Value Chain and Component Integration,Yes
GV-6.1-008,"Does your organization maintain records of changes to content made by third parties to promote content provenance (including sources, timestamps, and metadata)?",Information Integrity; Value Chain and Component Integration; Intellectual Property,Yes
GV-6.1-009,"Does your organization update and integrate due diligence processes for GAI acquisition and procurement vendor assessments to include intellectual property, data privacy, security, and other risks (e.g., monitoring third-party GAI risks and adjusting procedures accordingly)?",Data Privacy; Human-AI Configuration; Information Security; Intellectual Property; Value Chain and Component Integration; Harmful Bias and Homogenization,Yes
GV-6.1-010,"Does your organization update GAI acceptable use policies to address both proprietary and open-source GAI technologies and include contractors, consultants, and other third-party personnel?",Intellectual Property; Value Chain and Component Integration,Yes
GV-6.2-001,Does your organization document GAI risks associated with the system value chain to identify over-reliance on third-party data and to identify fallbacks?,Value Chain and Component Integration,Yes
GV-6.2-002,"Does your organization document incidents involving third-party GAI data and systems, including open data and open-source software?",Intellectual Property; Value Chain and Component Integration,Yes
GV-6.2-003,"Does your organization establish incident response plans for third-party GAI technologies (including alignment with MAP 5.1, clear communication, defined ownership, regular rehearsals, and updates based on retrospective learning) and review them for compliance with breach reporting and data protection laws?",Data Privacy; Human-AI Configuration; Information Security; Value Chain and Component Integration; Harmful Bias and Homogenization,Yes
GV-6.2-004,Does your organization establish policies and procedures for continuous monitoring of third-party GAI systems in deployment?,Value Chain and Component Integration,Yes
GV-6.2-005,"Does your organization establish policies and procedures that address GAI data redundancy, including model weights and other system artifacts?",Harmful Bias and Homogenization,Yes
GV-6.2-006,"Does your organization establish policies and procedures to test and manage risks related to rollover and fallback technologies for GAI systems, acknowledging that fallback may include manual processing?",Information Integrity,Yes
GV-6.2-007,"Does your organization review vendor contracts to avoid arbitrary or capricious termination of critical GAI technologies or vendor services and non-standard terms that may amplify or defer liability, including clear assignments of liability and SLAs?",Human-AI Configuration; Information Security; Value Chain and Component Integration,Yes
MP-1.1-001,"When identifying intended purposes, are factors such as internal vs. external use, narrow vs. broad application scope, fine-tuning, and varieties of data sources (e.g., grounding, retrieval-augmented generation) considered?",Data Privacy; Intellectual Property,Yes
MP-1.1-002,"Is the expected and acceptable GAI system context of use determined and documented in collaboration with socio‑cultural and other domain experts—addressing assumptions, limitations, value, operational environment, impacts, and social norms?",Harmful Bias and Homogenization,Yes
MP-1.1-003,"Are risk measurement plans documented to address identified risks—including cognitive biases, past incidents, foreseeable misuse, over-reliance on quantitative metrics, structured human feedback, and anticipated human‑AI configurations?","Human-AI Configuration; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content",Yes
MP-1.1-004,Are foreseeable illegal uses or applications of the GAI system (that exceed organizational risk tolerances) identified and documented?,"CBRN Information or Capabilities; Dangerous, Violent, or Hateful Content; Obscene, Degrading, and/or Abusive Content",Yes
MP-1.2-001,"Are interdisciplinary teams established and empowered—with diverse capabilities, competencies, demographic groups, domain expertise, educational backgrounds, lived experiences, professions, and skills—to conduct risk measurement and management functions?",Human-AI Configuration; Harmful Bias and Homogenization,Yes
MP-1.2-002,Is it verified that data or benchmarks used in risk measurement—and participants in structured public feedback exercises—are representative of diverse in-context user populations?,Human-AI Configuration; Harmful Bias and Homogenization,Yes
MP-2.1-001,Are known assumptions and practices for determining data origin and content lineage established for documentation and evaluation purposes?,Information Integrity,Yes
MP-2.1-002,"Is test and evaluation instituted for data and content flows within the GAI system (covering original sources, data transformations, and decision‑making criteria)?",Intellectual Property; Data Privacy,Yes
MP-2.2-001,Is it documented how the system relies on upstream data sources (including content provenance) and whether it serves as an upstream dependency for other systems?,Information Integrity; Value Chain and Component Integration,Yes
MP-2.2-002,"Is there observation and analysis of how the GAI system interacts with external networks to identify potential negative externalities, particularly where content provenance might be compromised?",Information Integrity,Yes
MP-2.3-001,"Is the accuracy, quality, reliability, and authenticity of GAI output assessed by comparing it to known ground truth data using various evaluation methods (e.g., human oversight, automated evaluation, cryptographic techniques, input review)?",Information Integrity,Yes
MP-2.3-002,"Is the accuracy, representativeness, relevance, and suitability of data used at different stages of the AI lifecycle reviewed and documented?",Harmful Bias and Homogenization; Intellectual Property,Yes
MP-2.3-003,"Are fact‑checking techniques deployed and documented to verify the accuracy and veracity of information generated by GAI systems, especially when multiple or unknown sources are involved?",Information Integrity,Yes
MP-2.3-004,"Are testing techniques developed and implemented to identify GAI‑produced content (e.g., synthetic media) that might be indistinguishable from human‑generated content?",Information Integrity,Yes
MP-2.3-005,Are plans implemented for GAI systems to undergo regular adversarial testing to identify vulnerabilities and potential manipulation or misuse?,Information Security,Yes
MP-3.4-001,Are GAI operators and end‑users evaluated on their ability to accurately understand content lineage and origin?,Human-AI Configuration; Information Integrity,Yes
MP-3.4-002,Are existing training programs adapted to include modules on digital content transparency?,Information Integrity,Yes
MP-3.4-003,"Are certification programs developed that test proficiency in managing GAI risks and interpreting content provenance, relevant to specific industries and contexts?",Information Integrity,Yes
MP-3.4-004,Are human proficiency tests delineated from tests of GAI capabilities?,Human-AI Configuration,Yes
MP-3.4-005,Are systems implemented to continually monitor and track outcomes of human‑GAI configurations for future refinement and improvements?,Human-AI Configuration; Information Integrity,Yes
