CVE ID,Framework/Tool,Affected Versions,Type of Attack,Description,Severity Score,Source of CVE,Relevant Phase,Attack Vector,Mitigation,Source of Mitigation,Extracted Version
CVE-2024-31621,flowise,< 1.6.2,Remote Code Execution (RCE),Flowise v.1.6.2 and before allows a remote attacker to execute arbitrary code via a crafted script sent to the /api/v1 component.,7.6,NVD,Input/Output Handling,User Input / API Execution,Upgrade to the latest version of Flowise that addresses this vulnerability. Ensure proper sanitization of input data received via the /api/v1 component. Use secure coding practices such as avoiding eval() and similar methods that execute arbitrary scripts. Implement input validation mechanisms and apply access control to API endpoints to limit exposure to unauthenticated users.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), AC-3 (Access Enforcement), SI-16 (Memory Protection)",1.6.2
CVE-2024-36420,flowise,< 1.4.3,Arbitrary File Read,"Flowise v.1.4.3 lacks sanitization in the fileName body parameter of the /api/v1/openai-assistants-file endpoint, allowing arbitrary file read. No known patches are available.",7.5,NVD,File/Directory Handling,File Access / Unvalidated Input,Restrict access to sensitive files by implementing strict input validation for the fileName parameter to prevent path traversal and unauthorized file access. Use input sanitization libraries and ensure proper access controls are in place. Consider applying application-layer whitelisting or sandboxing techniques for file handling to prevent unauthorized access to critical directories and system files. Monitor file access patterns for suspicious behavior.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), AC-3 (Access Enforcement), SC-28 (Protection of Information)",1.4.3
CVE-2024-36421,flowise,< 1.4.3,Cross-Origin Resource Sharing (CORS),"Flowise v.1.4.3 has a CORS misconfiguration allowing arbitrary origins to connect to the website, potentially enabling attacks like path injection and data theft. No known patches are available.",7.5,NVD,Cross-Domain Access,Cross-Domain Access,"Ensure proper CORS configuration by restricting allowed origins to trusted domains. Avoid using Access-Control-Allow-Origin: * and instead specify trusted origins only. Additionally, implement proper authentication and authorization checks on all API endpoints, regardless of the CORS configuration. Monitor for and block suspicious cross-origin requests. Update Flowise to the latest secure version when available.","NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), AC-3 (Access Enforcement)",1.4.3
CVE-2024-36422,flowise,< 1.4.3,Reflected Cross-Site Scripting (XSS),"Flowise v.1.4.3 contains a reflected XSS vulnerability in the /api/v1/chatflows/id endpoint. This vulnerability can allow attackers to inject JavaScript into user sessions, steal information, or create false popups. No known patches are available.",6.1,NVD,Input/Output Handling,User Input / Web UI,"Implement input sanitization and output encoding to prevent malicious scripts from being injected into user sessions. Utilize frameworks and libraries that escape user inputs before rendering them on web pages. Apply Content Security Policy (CSP) headers to limit the execution of unauthorized scripts. Ensure error messages do not reflect user input in a way that allows XSS attacks. Additionally, consider enabling a Web Application Firewall (WAF) to mitigate XSS attack vectors.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-7 (Boundary Protection)",1.4.3
CVE-2022-0315,horovod,< 0.24.0,Insecure Temporary File,Horovod versions prior to 0.24.0 contain an insecure temporary file vulnerability.,7.5,NVD,Implementation and Maintenance,File System Access,"Update Horovod to version 0.24.0 or later. Use secure temporary file handling techniques such as randomized filenames, proper file permissions, and avoiding world-writable directories to prevent attackers from tampering with temporary files.","NIST SP 800-53 Rev. 5, SI-12 (Information Handling)",0.24.0
CVE-2023-34540,langchain,< 0.0.225,Remote Code Execution (RCE),"LangChain (before v0.0.225) is vulnerable to RCE in JiraAPIWrapper, allowing arbitrary code execution through crafted inputs.",9.8,NVD,Input Handling,User Input / API Execution,Apply security updates to LangChain (v0.0.225 or later). Use secure coding practices to validate all inputs and sanitize API interactions to prevent remote code execution. Implement logging and auditing to detect suspicious activities.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SI-4 (System Monitoring)",0.0.225
CVE-2023-34541,langchain,< 0.0.171,Arbitrary Code Execution,LangChain (v0.0.171) is vulnerable to arbitrary code execution via load_prompt.,9.8,NVD,Input Handling,User Input,Update to a secure version of LangChain. Implement strict input validation and ensure that any prompt inputs are sanitized and verified before execution. Use sandboxing techniques to limit the impact of potential code execution within isolated environments.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-30 (Isolation of Services)",0.0.171
CVE-2023-36258,langchain,< 0.0.236,Arbitrary Code Execution,"LangChain (before v0.0.236) allows arbitrary code execution through Python code containing os.system, exec, or eval.",9.8,NVD,Input Handling,User Input,"Upgrade to LangChain v0.0.236 or later. Remove the use of unsafe Python functions (os.system, exec, eval) and replace them with safer alternatives. Enforce strong input validation to mitigate arbitrary code execution risks.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SA-11 (Developer Training)",0.0.236
CVE-2023-36188,langchain,< 0.0.64,Arbitrary Code Execution,"LangChain (v0.0.64) is vulnerable to arbitrary code execution via PALChain, allowing an attacker to use Python exec method.",9.8,NVD,Input Handling,User Input,"Apply updates to a secure version of LangChain. Limit or remove the usage of exec calls in the application, and implement strict input validation for all inputs interacting with PALChain. Monitor execution logs for suspicious behavior.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SI-4 (System Monitoring)",0.0.64
CVE-2023-36189,langchain,< 0.0.247,SQL Injection,LangChain (before v0.0.247) allows a remote attacker to obtain sensitive information via SQLDatabaseChain through SQL injection.,7.5,NVD,Input Handling,Database Query Manipulation,"Upgrade LangChain to v0.0.247 or later. Sanitize and parameterize SQL queries to prevent SQL injection attacks. Use input validation to verify user inputs that interact with databases, and monitor logs for suspicious database activities.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-7 (Boundary Protection)",0.0.247
